#instr,trace_type,trace_name,INSTR-ALL-1x,INSTR-NOALL,INSTR-NOL2C,INSTR-NOL2C-NOLLC,INSTR-NOLLC
1M,clientservertraces,client_001.champsimtrace.xz,0.988352,0.480063,0.90716,0.58725,0.979003
1M,clientservertraces,client_002.champsimtrace.xz,0.759699,0.37329,0.725817,0.548629,0.724763
1M,clientservertraces,client_003.champsimtrace.xz,1.35384,0.472745,1.2457,0.817917,1.33139
1M,clientservertraces,client_004.champsimtrace.xz,0.685152,0.382794,0.654744,0.511365,0.667592
1M,clientservertraces,client_005.champsimtrace.xz,0.792122,0.462306,0.778081,0.647939,0.719255
1M,clientservertraces,client_006.champsimtrace.xz,0.612195,0.451171,0.60232,0.530719,0.584121
1M,clientservertraces,client_007.champsimtrace.xz,0.803946,0.357053,0.662116,0.358675,0.799762
1M,clientservertraces,client_008.champsimtrace.xz,0.899248,0.277517,0.748823,0.36512,0.764348
1M,clientservertraces,server_001.champsimtrace.xz,0.847364,0.435355,0.806479,0.53473,0.779487
1M,clientservertraces,server_003.champsimtrace.xz,0.52827,0.274376,0.499453,0.269606,0.348116
1M,clientservertraces,server_004.champsimtrace.xz,0.652066,0.268542,0.606773,0.288597,0.353835
1M,clientservertraces,server_009.champsimtrace.xz,0.60747,0.249891,0.563068,0.294105,0.403009
1M,clientservertraces,server_010.champsimtrace.xz,0.682577,0.253767,0.626212,0.298223,0.385882
1M,clientservertraces,server_011.champsimtrace.xz,0.578586,0.273095,0.525006,0.286243,0.41577
1M,clientservertraces,server_012.champsimtrace.xz,0.637604,0.254316,0.589183,0.303105,0.420992
1M,clientservertraces,server_013.champsimtrace.xz,0.643114,0.270393,0.599244,0.277603,0.362228
1M,clientservertraces,server_014.champsimtrace.xz,1.29142,0.286827,0.991014,0.463561,1.22232
1M,clientservertraces,server_016.champsimtrace.xz,0.785109,0.295772,0.637741,0.274854,0.560784
1M,clientservertraces,server_017.champsimtrace.xz,0.37842,0.206517,0.34869,0.212474,0.330151
1M,clientservertraces,server_018.champsimtrace.xz,0.360513,0.204848,0.335231,0.215865,0.31562
1M,clientservertraces,server_019.champsimtrace.xz,0.385574,0.203796,0.353994,0.212156,0.330529
1M,clientservertraces,server_020.champsimtrace.xz,0.370838,0.209018,0.344093,0.216138,0.31896
1M,clientservertraces,server_021.champsimtrace.xz,0.354892,0.197045,0.329333,0.208811,0.310955
1M,clientservertraces,server_022.champsimtrace.xz,0.334204,0.196062,0.313845,0.211209,0.292591
1M,clientservertraces,server_023.champsimtrace.xz,0.81012,0.297376,0.657927,0.280794,0.587268
1M,clientservertraces,server_024.champsimtrace.xz,0.811669,0.304516,0.659263,0.286402,0.585199
1M,clientservertraces,server_025.champsimtrace.xz,0.808164,0.286221,0.642958,0.2705,0.595266
